id,apelido,nome_completo,slug,clube,clube_id,posicao,posicao_id
114040,Minda,Alan Steve Minda García,minda,CAM,282,Atacante,5
104758,Enzo Díaz,Enzo Hernán Díaz,enzo-diaz,SAO,276,Lateral,2
104502,Christian,Christian Roberto Alves Cardoso,christian,CRU,283,Meia,4
103056,Gabriel Brazão,Gabriel Nascimento Rezende Brazão - Resende,gabriel-brazao,SAN,277,Goleiro,1
68928,Rafael,Rafael Pires Monteiro,rafael,SAO,276,Goleiro,1
63007,Neymar,Neymar da Silva Santos Júnior,neymar,SAN,277,Meia,4
105949,Rochet,Sergio Ramón Rochet Álvarez,rochet,INT,285,Goleiro,1
42234,Cássio,Cássio Roberto Ramos,cassio,CRU,283,Goleiro,1
97810,Erick,Erick de Arruda Serafim,erick,VIT,287,Atacante,5
72294,Everson,Everson Felipe Marques Pires,everson,CAM,282,Goleiro,1
69012,Santos,Aderbar Melo dos Santos Neto,santos,CAP,293,Goleiro,1
141165,Enzo Vagner,Enzo Vágner Moraes de Souza,enzo-vagner,CFC,294,Atacante,5
87008,Léo Jardim,Leonardo César Jardim,leo-jardim,VAS,267,Goleiro,1
92171,Arthur Cabral,Arthur Mendonça Cabral,arthur-cabral,BOT,263,Atacante,5
96591,Renan Lodi,Renan Augusto Lodi dos Santos,renan-lodi,CAM,282,Lateral,2
145036,Fernando Pradella,Fernando Pradella Rocha,fernando-pradella,SAN,277,Atacante,5
37656,Fábio,Fábio Deivson Lopes Maciel,fabio,FLU,266,Goleiro,1
61987,Alex Sandro,Alex Sandro Lobo Silva,alex-sandro,FLA,262,Lateral,2
90768,Fabrício Bruno,Fabrício Bruno Soares de Faria,fabricio-bruno,CRU,283,Zagueiro,3
85425,João Paulo,João Paulo Silva Martins,joao-paulo,BAH,265,Goleiro,1
105436,Carrascal,Jorge Andrés Carrascal Guardo,carrascal,FLA,262,Meia,4
68996,Willian José,Willian José da Silva,willian-jose,BAH,265,Atacante,5
100898,Vitinho,Victor Alexander da Silva,vitinho,BOT,263,Lateral,2
91101,Ronaldo,Ronaldo de Oliveira Strada,ronaldo,BAH,265,Goleiro,1
80196,Yago Pikachu,Glaybson Yago Souza Lisboa,yago-pikachu,REM,364,Meia,4
91772,David Duarte,David de Duarte Macedo,david-duarte,BAH,265,Zagueiro,3
98484,Kanu,Victor Hugo Soares dos Santos,kanu,BAH,265,Zagueiro,3
101727,Matheuzinho,Matheus França Silva,matheuzinho,COR,264,Lateral,2
99274,Alexander Barboza,Alexander Nahuel Barboza Ullúa,alexander-barboza,BOT,263,Zagueiro,3
98517,Jean Lucas,Jean Lucas de Souza Oliveira,jean-lucas,BAH,265,Meia,4
109401,Erick Pulga,Erick da Costa Farias,erick-pulga,BAH,265,Atacante,5
105373,Gabriel Xavier,Gabriel Lehman Xavier - Lheman / Lhman,gabriel-xavier,BAH,265,Zagueiro,3
97868,Iago,Iago Amaral Borduchi,iago,BAH,265,Lateral,2
80313,Gilberto,Gilberto Moraes Júnior,gilberto,BAH,265,Lateral,2
123717,Zé Guilherme,José Guilherme de Lima Costa,ze-guilherme,BAH,265,Lateral,2
98022,Erick,Erick Luis Conrado de Carvalho,erick,BAH,265,Meia,4
105990,Santiago Mingo,Santiago Martín Ramos Mingo,santiago-mingo,BAH,265,Zagueiro,3
113397,Cristian Olivera,Cristian Gonzalo Olivera Ibarra,cristian-olivera,BAH,265,Atacante,5
123360,Cauly,Cauly Oliveira Souza,cauly,SAO,276,Meia,4
104783,Acevedo,Nicolás Brian Acevedo Tabárez,acevedo,BAH,265,Meia,4
115674,Gabriel Delfim,Gabriel Delfim Ferreira,gabriel-delfim,CAM,282,Goleiro,1
106323,Caio Alexandre,Caio Alexandre Souza e Silva,caio-alexandre,BAH,265,Meia,4
107173,Michel Araújo,Michel Daryl Araújo Villar,michel-araujo,BAH,265,Meia,4
68806,Neto,Norberto Murara Neto,neto,BOT,263,Goleiro,1
122994,Victor Nascimento,Victor dos Santos Nascimento,victor-nascimento,BAH,265,Goleiro,1
145379,Kauê Furquim,Kauê Junior Furquim da Silva,kaue-furquim,BAH,265,Atacante,5
111829,Kayky,Kayky da Silva Chagas,kayky,INT,285,Atacante,5
136955,Sanabria,Mateo Naín Sanabria Doracio,sanabria,BAH,265,Atacante,5
72493,Alex Telles,Alex Nicolao Telles,alex-telles,BOT,263,Lateral,2
141419,Fredi Lippert,Frederico Lippert Neto Gomes,fredi-lippert,BAH,265,Zagueiro,3
